,Балкон:,Вид из окна:,Высота потолков:,Год постройки:,До метро,Жилая площадь:,Координаты,Лифт:,Метро,Общая площадь:,Отделка:,Парковка:,Площадь комнат:,Площадь кухни:,Раздельных санузлов:,Ремонт:,Санузел:,Сдача ГК:,Совмещенных санузлов:,Статус помещения:,Телефон:,Тип дома:,Тип продажи:,Цена,Этаж:
1,1 балк.,двор,,,"4
                мин.
                
                    пешком",60 м2,"[37.606595,55.763478]",1 пасс.,"Тверская,",82 м2,,,67 м2,7 м2,,дизайнерский,,,1,,нет,"вторичка, 
            кирпичный",свободная,35 900 000 руб.,5 / 8
2,1 балк.,улица,,,"12
                мин.
                
                    пешком",20 м2,"[37.598932,55.603502]",1 пасс.,"Пражская,",40 м2,,,20 м2,10 м2,1,евроремонт,,,,,нет,"вторичка, 
            панельный дом",свободная,6 500 000 руб.,20 / 22
3,–,двор,,,"12
                мин.
                
                    пешком",16 м2,"[37.425468,55.633963]",–,"Румянцево,",32 м2,,наземная,16 м2,10 м2,,евроремонт,,,1,,,вторичка,свободная,2 989 000 руб.,1 / 3
4,–,двор,"3,15 м",2013,"15
                мин.
                
                    на машине",11 м2,"[37.552543,55.491804]",–,"Бунинская аллея,",15 м2,,наземная,11 м2,4 м2,,косметический,,,1,,,вторичка,свободная,1 390 000 руб.,1 / 3
5,–,двор,3 м,2014,"15
                мин.
                
                    на машине",12 м2,"[37.552543,55.491804]",–,"Бунинская аллея,",15 м2,,наземная,12 м2,–,,отсутствует,,,1,,нет,вторичка,свободная,1 390 000 руб.,3 / 4
6,–,–,,,"25
                мин.
                
                    на машине",26 м2,"[37.322593,55.648382]",–,"Киевская,",29 м2,,наземная,26 м2,–,,отсутствует,,,1,,,вторичка,свободная,1 440 000 руб.,3 / 3
7,–,двор,,,NA,18 м2,"[37.327327,55.648042]",–,"Киевская,","21,2 м2",,наземная,–,3 м2,,отсутствует,,,1,,,вторичка,свободная,1 790 000 руб.,1 / 3
8,–,двор,"2,64 м",1972,"12
                мин.
                
                    пешком",8 м2,"[37.617986,55.606690]",1 пасс.,"Пражская,",12 м2,,наземная,–,2 м2,,косметический,,,1,,,"вторичка, 
            панельный дом",свободная,1 790 000 руб.,1 / 9
9,–,улица,,,"35
                мин.
                
                    на машине","18,1 м2","[36.917628,55.497660]",–,"Саларьево,","34,8 м2",,,18.1 м2,"10,8 м2",,,нет,2 кв. 2017 года,,,,"новостройка, 
            панельный дом",переуступка,1 800 000 руб.,1 / 3
10,–,двор,"2,64 м",1968,"22
                мин.
                
                    пешком","11,8 м2","[37.648385,55.616676]",–,"Царицыно,","11,8 м2",,,9 м2,–,1,косметический,,,,,,вторичка,свободная,1 800 000 руб.,1 / 9
11,–,двор,,,"35
                мин.
                
                    на машине","18,1 м2","[36.917628,55.497660]",–,"Саларьево,","34,2 м2",,,"18,1 м2","10,2 м2",,,,1 кв. 2017 года,1,,,"новостройка, 
            панельный дом",переуступка,1 850 000 руб.,2 / 3
12,–,двор,"2,64 м",1966,"5
                мин.
                
                    пешком",8 м2,"[37.442266,55.855219]",1 пасс.,"Сходненская,",12 м2,,наземная,8 м2,"2,5 м2",,косметический,,,1,,,вторичка,свободная,1 850 000 руб.,1 / 9
13,–,двор,"2,48 м",1964,"5
                мин.
                
                    пешком",8 м2,"[37.742061,55.798647]",–,"Локомотив,","11,5 м2",,,8 м2,3 м2,,косметический,,,1,,,вторичка,свободная,1 850 000 руб.,1 / 5
14,–,двор,"2,64 м",1966,"5
                мин.
                
                    пешком",8 м2,"[37.442266,55.855219]",1 пасс.,"Сходненская,","11,5 м2",,наземная,8 м2,–,,косметический,,,1,,да,вторичка,свободная,1 850 000 руб.,1 / 9
15,–,двор,"3,20 м",,NA,20 м2,"[37.318002,55.614922]",–,NA,"26,7 м2",,,"26,7 м2",4 м2,1,косметический,,,,,,вторичка,свободная,1 860 000 руб.,1 / 2
16,–,двор,,,"10
                мин.
                
                    на машине",16 м2,"[37.468506,55.585057]",–,"Теплый Стан,",20 м2,,наземная,16 м2,"2,5 м2",,отсутствует,,,1,,,вторичка,свободная,1 890 000 руб.,1 / 3
17,1 балк.,двор,,,"37
                мин.
                
                    на машине","17,5 м2","[36.917628,55.497660]",1 пасс. + 1 груз.,"Саларьево,","34,0 м2",,,17.5 м2,"8,3 м2",1,,,4 кв. 2016 года,,,,"новостройка, 
            монолитный",свободная,1 950 000 руб.,1 / 3
18,–,–,"3,15 м",2005,"15
                мин.
                
                    на машине",23 м2,"[37.552543,55.491804]",–,"Бунинская аллея,",26 м2,,,23 м2,3 м2,,косметический,нет,,,,,вторичка,свободная,1 990 000 руб.,2 / 3
19,–,двор,,,"10
                мин.
                
                    на машине",14 м2,"[37.469611,55.587005]",–,"Теплый Стан,",20 м2,,,14 м2,4 м2,,отсутствует,,,1,,,вторичка,свободная,1 990 000 руб.,1 / 3
20,–,улица,"2,70 м",2015,"20
                мин.
                
                    на машине","16,5 м2","[37.554439,55.495098]",1 пасс. + 1 груз.,"Бунинская аллея,",19 м2,,наземная,"16,5 м2",–,,отсутствует,,,1,,нет,вторичка,свободная,1 990 000 руб.,2 / 21
21,–,–,,,"34
                мин.
                
                    на машине","21,3 м2","[37.149927,55.967723]",2 пасс. + 2 груз.,"Митино,","21,3 м2",,,"21,3 м2",–,,,нет,2 кв. 2017 года,,,,"новостройка, 
            кирпичный",договор инвестирования,1 990 000 руб.,10 / 17
22,–,–,,,"34
                мин.
                
                    на машине",15 м2,"[37.150548,55.966409]",2 пасс. + 2 груз.,"Митино,","21,3 м2",,,15 м2,–,,,,2 кв. 2017 года,1,,,"новостройка, 
            монолитный",договор инвестирования,1 990 000 руб.,11 / 17
23,1 лодж.,двор,3 м,2014,"15
                мин.
                
                    на машине",10 м2,"[37.552543,55.491804]",–,"Бунинская аллея,","24,6 м2",,наземная,10 м2,6 м2,,отсутствует,,,1,,нет,вторичка,свободная,1 990 000 руб.,3 / 4
24,1 балк. + 1 лодж.,двор и улица,,,"15
                мин.
                
                    на машине",28 м2,"[37.339166,55.552113]",2 пасс. + 1 груз.,"Саларьево,",29 м2,,наземная,28 м2,–,1,,,2 кв. 2017 года,,,,"новостройка, 
            кирпичный",214-ФЗ,1 999 000 руб.,4 / 4
25,–,–,,,NA,15 м2,"[37.470048,55.564036]",2 пасс. + 1 груз.,NA,"20,3 м2",,подземная,15 м2,5 м2,,,,1 кв. 2018 года,1,,,новостройка,предварительный договор,2 030 000 руб.,6 / 15
26,–,–,,,NA,12 м2,"[37.470048,55.564036]",–,NA,"20,3 м2",,,12 м2,–,,,,3 кв. 2018 года,1,,,новостройка,214-ФЗ,2 030 000 руб.,3 / 17
27,–,улица,,,"20
                мин.
                
                    на машине",13 м2,"[37.323796,55.648037]",–,"Киевская,","19,3 м2",,наземная,13 м2,4 м2,,отсутствует,,,1,,,вторичка,свободная,2 040 000 руб.,1 / 3
28,–,двор,,,"15
                мин.
                
                    на машине",14 м2,"[37.539042,55.504206]",1 пасс.,"Бунинская аллея,",21 м2,,наземная,14 м2,3 м2,,отсутствует,,,1,,,вторичка,свободная,2 090 000 руб.,1 / 19
29,нет,двор,"3,20 м",,"6
                мин.
                
                    пешком",–,"[37.618390,55.732498]",1 пасс. + 1 груз.,"Полянка,","133,2 м2",,подземная,–,–,,,,2 кв. 2018 года,2,,,"новостройка, 
            монолитный",214-ФЗ,80 586 000 руб.,2 / 7
30,–,–,,,"7
                мин.
                
                    пешком",–,"[37.497379,55.837341]",1 пасс.,"Водный стадион,","64,1 м2",,,–,–,,,–,2018 год,,,,новостройка,свободная,9 973 100 руб.,8 / 36
31,2 балк.,двор,,,"15
                мин.
                
                    пешком","35,5 м2","[37.714698,55.821851]",нет,"Бульвар Рокоссовского,","62,5 м2",,,16-19.5 м2,"9,5 м2",1,косметический,,,,,нет,"вторичка, 
            сталинский",свободная,8 000 000 руб.,2 / 2
32,–,двор,,,NA,16 м2,"[37.536850,55.503206]",2 пасс. + 2 груз.,"Бунинская аллея,",21 м2,,наземная,16 м2,"2,5 м2",,отсутствует,,,1,,,вторичка,свободная,2 090 000 руб.,2 / 22
33,1 балк.,двор,,,"20
                мин.
                
                    на машине",19 м2,"[36.918423,55.495359]",–,"Румянцево,",35 м2,,,19 м2,10 м2,,отсутствует,,,1,,,вторичка,свободная,2 100 000 руб.,3 / 3
34,1 балк.,двор,,,"30
                мин.
                
                    на машине","12,7 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","22,3 м2",,,12.69 м2,"3,7 м2",,,,3 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,2 161 544 руб.,10 / 18
35,–,–,"2,64 м",1998,"10
                мин.
                
                    пешком",8 м2,"[37.517761,55.529456]",–,"Бунинская аллея,","14,5 м2",,,8 м2,3 м2,,отсутствует,,,1,,,вторичка,свободная,2 190 000 руб.,1 / 10
36,1 балк.,двор,,,"20
                мин.
                
                    на машине","21,3 м2","[37.339166,55.552113]",–,"Теплый Стан,","31,5 м2",,,21.3 м2,8 м2,,,,3 кв. 2017 года,1,,,новостройка,переуступка,2 200 000 руб.,3 / 4
37,1 балк.,двор,,,"30
                мин.
                
                    на машине","12,5 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","20,7 м2",,,12.47 м2,–,,,,3 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,2 217 106 руб.,6 / 18
38,–,двор,,,NA,20 м2,"[37.324668,55.648225]",–,"Киевская,",26 м2,,наземная,20 м2,4 м2,,отсутствует,,,1,,,вторичка,свободная,2 240 000 руб.,2 / 3
39,–,улица,,1974,"20
                мин.
                
                    на машине",13 м2,"[37.323796,55.648037]",–,"Киевская,",19 м2,,,13 м2,4 м2,,отсутствует,,,1,,,вторичка,свободная,2 240 000 руб.,2 / 3
40,–,двор,,,"9
                мин.
                
                    пешком",11 м2,"[37.734946,55.728003]",–,"Нижегородская,",15 м2,,наземная,11 м2,–,,отсутствует,,,1,,да,вторичка,свободная,2 250 000 руб.,2 / 3
41,1 балк.,двор,,,"30
                мин.
                
                    на машине","15,8 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","22,6 м2",,,15.81 м2,–,,,,3 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,2 266 275 руб.,8 / 18
42,1 балк.,двор,,,"30
                мин.
                
                    на машине","12,6 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","20,9 м2",,,12.64 м2,–,,,,3 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,2 266 719 руб.,10 / 18
43,1 балк.,двор,,,"30
                мин.
                
                    на машине","13,5 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","22,5 м2",,,13.48 м2,–,,,,3 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,2 280 036 руб.,7 / 18
44,–,двор,,,NA,22 м2,"[37.322593,55.648382]",–,"Киевская,",27 м2,,наземная,22 м2,"2,5 м2",,отсутствует,,,1,,,"вторичка, 
            кирпичный",свободная,2 290 000 руб.,2 / 3
45,–,двор,,,NA,22 м2,"[37.322593,55.648382]",–,"Киевская,",27 м2,,наземная,22 м2,"2,5 м2",,отсутствует,,,1,,,"вторичка, 
            кирпичный",свободная,2 290 000 руб.,2 / 3
46,–,двор,,,"20
                мин.
                
                    на машине",20 м2,"[37.323715,55.646675]",–,"Киевская,",27 м2,,,20 м2,4 м2,,отсутствует,,,1,,,вторичка,свободная,2 290 000 руб.,2 / 3
47,1 балк.,двор,,,"30
                мин.
                
                    на машине","14,3 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","22,1 м2",,,14.26 м2,–,,,,3 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,2 308 405 руб.,2 / 18
48,1 балк.,двор,,,"30
                мин.
                
                    на машине","14,3 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","22,2 м2",,,14.26 м2,–,,,,3 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,2 308 800 руб.,2 / 18
49,1 лодж.,двор,,,"20
                мин.
                
                    на машине",17 м2,"[37.395328,55.519412]",1 пасс. + 1 груз.,"Теплый Стан,","28,8 м2",,,17.1 м2,10 м2,,,,3 кв. 2017 года,1,,,"новостройка, 
            кирпичный",переуступка,2 350 000 руб.,2 / 8
50,–,улица,"2,48 м",1964,"6
                мин.
                
                    пешком",10 м2,"[37.742061,55.798647]",–,"Локомотив,","14,3 м2",,наземная,10 м2,2 м2,,косметический,,,1,,,вторичка,свободная,2 350 000 руб.,1 / 5
51,1 балк.,двор,,,NA,18 м2,"[37.535412,55.503757]",2 пасс. + 2 груз.,"Бунинская аллея,",24 м2,,наземная,18 м2,"2,5 м2",,отсутствует,,,1,,,"вторичка, 
            монолитный",свободная,2 390 000 руб.,2 / 22
52,–,двор,"2,64 м",1998,"10
                мин.
                
                    пешком",14 м2,"[37.517761,55.529456]",2 пасс.,"Бунинская аллея,",18 м2,,наземная,14 м2,"2,5 м2",,косметический,,,1,,,вторичка,свободная,2 390 000 руб.,1 / 10
53,1 балк.,двор,,1966,"10
                мин.
                
                    пешком",10 м2,"[37.750065,55.709997]",1 пасс.,"Текстильщики,","15,5 м2",,наземная,10 м2,"2,5 м2",,косметический,,,1,,,вторичка,свободная,2 390 000 руб.,1 / 9
54,1 лодж.,двор,"2,70 м",2015,"15
                мин.
                
                    на машине",18 м2,"[37.554439,55.495098]",–,"Бунинская аллея,",25 м2,,наземная,18 м2,4 м2,,отсутствует,,,1,,да,вторичка,свободная,2 390 000 руб.,2 / 21
55,–,двор,"2,64 м",1998,"10
                мин.
                
                    пешком",13 м2,"[37.517761,55.529456]",–,"Бунинская аллея,",18 м2,,,13 м2,4 м2,,косметический,,,1,,да,вторичка,свободная,2 390 000 руб.,1 / 10
56,–,–,,,"9
                мин.
                
                    пешком",24 м2,"[37.432816,55.618862]",–,"Саларьево,",26 м2,,наземная,24 м2,–,,евроремонт,,,1,,,вторичка,свободная,2 390 000 руб.,2 / 3
57,1 лодж.,двор и улица,"2,70 м",2004,"13
                мин.
                
                    пешком",51 м2,"[37.774014,55.667731]",нет,"Люблино,",79 м2,,,21-10-20 м2,11 м2,,косметический,,,2,,,"вторичка, 
            панельный дом",свободная,10 000 000 руб.,20 / 24
58,1 лодж.,двор и улица,,,"3
                мин.
                
                    пешком","60,6 м2","[37.712264,55.800119]",1 пасс. + 1 груз.,"Преображенская площадь,","110,9 м2",,,21.85-16.63-22.07 м2,"15,5 м2",,,,,2,,да,"вторичка, 
            монолитный",свободная,25 000 000 руб.,2 / 13
59,–,двор и улица,,,"18
                мин.
                
                    пешком",139 м2,"[37.588296,55.744500]",1 пасс.,"Арбатская,","174,7 м2",,,–,–,,,,,2,,,"вторичка, 
            кирпичный",свободная,"2 358 450 $

            
            

    
        ~ 132 486 636 руб",3 / 8
60,1 балк.,двор,,,"30
                мин.
                
                    на машине","15,8 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","24,3 м2",,,15.77 м2,–,,,,3 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,2 395 520 руб.,12 / 18
61,1 балк.,улица,,,"30
                мин.
                
                    на машине","16,5 м2","[36.917628,55.497660]",–,"Саларьево,","36,7 м2",,наземная,"16,46 м2","12,4 м2",,,нет,2 кв. 2017 года,,,,"новостройка, 
            монолитный",переуступка,2 400 000 руб.,2 / 3
62,1 балк.,двор,,,"15
                мин.
                
                    на машине",20 м2,"[37.339166,55.552113]",1 пасс.,"Саларьево,",32 м2,,наземная,25 м2,5 м2,,,нет,2 кв. 2018 года,,,,"новостройка, 
            панельный дом",214-ФЗ,2 400 000 руб.,4 / 4
63,–,двор,"2,64 м",2002,NA,13 м2,"[37.646265,55.588272]",1 пасс. + 1 груз.,NA,17 м2,,,–,4 м2,,отсутствует,,,1,,нет,вторичка,свободная,2 431 000 руб.,1 / 14
64,1 балк.,–,,,"3
                мин.
                
                    на машине",–,"[37.651412,55.605856]",–,"Царицыно,","24,9 м2",,,–,–,,,–,2017 год,,,,новостройка,214-ФЗ,2 460 600 руб.,18 / 18
65,1 балк.,двор,,,"30
                мин.
                
                    на машине","16,4 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","25,2 м2",,,16.36 м2,–,,,,3 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,2 470 580 руб.,7 / 18
66,–,двор,"2,80 м",,"39
                мин.
                
                    на машине","23,7 м2","[37.096657,55.586949]",–,"Саларьево,","27,1 м2",,наземная,"27,1 м2",–,,косметический,,,1,апартаменты,нет,вторичка,свободная,2 484 000 руб.,1 / 3
67,–,двор,"2,64 м",1998,"10
                мин.
                
                    пешком",14 м2,"[37.517761,55.529456]",–,"Бунинская аллея,",19 м2,,,14 м2,4 м2,,косметический,,,1,,,вторичка,свободная,2 490 000 руб.,1 / 10
68,1 лодж.,–,"2,80 м",,"20
                мин.
                
                    на машине","16,2 м2","[37.345122,55.518826]",1 пасс. + 1 груз.,"Теплый Стан,","26,3 м2",,открытая,16.20 м2,"3,4 м2",1,,,2018 год,,,,"новостройка, 
            панельный дом",переуступка,2 498 500 руб.,8 / 17
69,–,улица,,,"35
                мин.
                
                    на машине","21,5 м2","[37.125779,55.585328]",1 пасс. + 1 груз.,"Саларьево,","30,2 м2",,,21.5 м2,–,,,,1 кв. 2017 года,1,,,новостройка,214-ФЗ,2 500 000 руб.,5 / 7
70,1 балк.,–,,,"3
                мин.
                
                    на машине",–,"[37.651412,55.605856]",–,"Царицыно,","25,1 м2",,,–,–,,,–,2017 год,,,,новостройка,214-ФЗ,2 507 200 руб.,11 / 18
71,1 балк.,двор,,,"30
                мин.
                
                    на машине","16,4 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","25,1 м2",,,16.36 м2,–,,,,3 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,2 510 000 руб.,12 / 18
72,1 балк.,улица,,2015,NA,16 м2,"[36.865826,55.431335]",1 пасс. + 1 груз.,NA,28 м2,,наземная,16 м2,4 м2,,отсутствует,,,1,,,вторичка,свободная,2 550 000 руб.,15 / 16
73,–,двор,"2,80 м",,NA,–,"[36.919620,55.487340]",1 пасс.,NA,"51,2 м2",,,–,–,,,нет,2017 год,,,,"новостройка, 
            кирпично-монолитный",свободная,2 560 000 руб.,3 / 3
74,1 балк.,–,,,"3
                мин.
                
                    на машине",–,"[37.651412,55.605856]",–,"Царицыно,",26 м2,,,–,–,,,–,2017 год,,,,новостройка,214-ФЗ,2 587 900 руб.,11 / 18
75,–,двор,"2,64 м",1966,"7
                мин.
                
                    пешком",14 м2,"[37.442266,55.855219]",1 пасс.,"Сходненская,",17 м2,,наземная,14 м2,"2,5 м2",,косметический,,,1,,,"вторичка, 
            панельный дом",свободная,2 590 000 руб.,1 / 9
76,–,двор,"2,64 м",1966,"5
                мин.
                
                    пешком",12 м2,"[37.442266,55.855219]",1 пасс.,"Сходненская,","16,5 м2",,наземная,12 м2,–,,косметический,,,1,,да,вторичка,свободная,2 590 000 руб.,1 / 9
77,1 лодж.,двор,,,"15
                мин.
                
                    на машине",16 м2,"[37.339166,55.552113]",–,"Саларьево,",29 м2,,,16 м2,10 м2,1,,,2 кв. 2017 года,,,,"новостройка, 
            кирпичный",переуступка,2 600 000 руб.,3 / 4
78,1 лодж.,двор,,,"25
                мин.
                
                    на машине",18 м2,"[37.314813,55.492212]",1 пасс. + 1 груз.,"Теплый Стан,",40 м2,,подземная,18 м2,10 м2,1,,,дом сдан,,,,новостройка,переуступка,2 600 000 руб.,7 / 19
79,1 балк.,двор,,,"30
                мин.
                
                    на машине","17,5 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","26,9 м2",,,17.83 м2,–,,,,3 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,2 631 552 руб.,10 / 18
80,1 балк.,двор,,,"30
                мин.
                
                    на машине","11,5 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","27,0 м2",,,11.54 м2,"9,1 м2",,,,3 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,2 645 020 руб.,15 / 18
81,–,двор,"2,64 м",1963,"5
                мин.
                
                    пешком",13 м2,"[37.547135,55.842085]",–,"Лихоборы,",18 м2,,наземная,13 м2,3 м2,,косметический,,,1,,да,вторичка,альтернатива,2 650 000 руб.,2 / 5
82,–,двор,"2,70 м",1963,"5
                мин.
                
                    пешком",13 м2,"[37.546031,55.842737]",–,"Лихоборы,",18 м2,,,13 м2,3 м2,,косметический,,,1,,,вторичка,свободная,2 650 000 руб.,2 / 5
83,–,двор,"2,64 м",1972,"16
                мин.
                
                    пешком",13 м2,"[37.617986,55.606690]",1 пасс.,"Пражская,",18 м2,,наземная,13 м2,"2,5 м2",,косметический,,,1,,,вторичка,свободная,2 690 000 руб.,1 / 9
84,–,–,,,"30
                мин.
                
                    на машине",17 м2,"[37.326844,55.432982]",1 пасс.,"Теплый Стан,","39,4 м2",,,17 м2,11 м2,,,нет,3 кв. 2017 года,,,,новостройка,214-ФЗ,2 690 000 руб.,4 / 9
85,1 лодж.,двор,,,"10
                мин.
                
                    пешком","25,4 м2","[37.678415,55.683270]",1 пасс.,"Коломенская,",41 м2,,,16.8-8.6 м2,"8,5 м2",,евроремонт,,,1,,нет,"вторичка, 
            блочный",свободная,8 500 000 руб.,4 / 9
86,1 балк.,улица,,,"30
                мин.
                
                    на машине","23,0 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","32,7 м2",,,13.35-9.64 м2,"3,3 м2",1,,,3 кв. 2018 года,,,,"новостройка, 
            монолитный",свободная,3 244 832 руб.,11 / 18
87,1 лодж.,двор и улица,,2011,"9
                мин.
                
                    пешком",225 м2,"[37.592716,55.740451]",1 пасс.,"Парк Культуры,","350,3 м2",,подземная,0-0-0-0 м2,–,,отсутствует,,,2,пентхаус,,вторичка,свободная,"5 200 000 $

            
            

    
        ~ 292 111 560 руб",7 / 7
88,–,двор,"2,64 м",1972,"16
                мин.
                
                    пешком",13 м2,"[37.617986,55.606690]",1 пасс.,"Пражская,",18 м2,,,13 м2,3 м2,,косметический,,,1,,да,вторичка,свободная,2 690 000 руб.,1 / 9
89,–,двор,,1962,"18
                мин.
                
                    пешком",9 м2,"[37.726754,55.766344]",–,"Соколиная гора,",13 м2,,,9 м2,2 м2,,отсутствует,,,1,,,вторичка,свободная,2 700 000 руб.,4 / 5
90,–,двор,"2,64 м",1968,"30
                мин.
                
                    пешком","16,1 м2","[37.648385,55.616676]",–,"Алма-Атинская,","19,1 м2",,,19.1 м2,3 м2,,косметический,,,1,,нет,вторичка,свободная,2 700 000 руб.,1 / 9
91,1 балк.,двор,,,"30
                мин.
                
                    на машине","13,8 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","29,2 м2",,,13.75 м2,"8,9 м2",,,,3 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,2 740 836 руб.,14 / 18
92,1 лодж.,–,,,NA,19 м2,"[37.314813,55.492212]",1 пасс. + 1 груз.,"Теплый Стан,",40 м2,,подземная,19 м2,11 м2,1,,,2 кв. 2017 года,,,,новостройка,переуступка,2 750 000 руб.,4 / 17
93,–,двор,"2,45 м",1974,"7
                мин.
                
                    на машине","8,6 м2","[37.500324,55.869319]",2 пасс.,"Речной вокзал,","12,7 м2",,на крыше,"8,6 м2",2 м2,,евроремонт,,,1,,да,"вторичка, 
            панельный дом",свободная,2 784 500 руб.,3 / 9
94,–,двор,,1959,"3
                мин.
                
                    пешком",10 м2,"[37.642689,55.820834]",–,"ВДНХ,","14,5 м2",,,–,2 м2,,косметический,,,1,,,вторичка,альтернатива,2 790 000 руб.,2 / 8
95,нет,двор,3 м,,NA,10 м2,"[37.642689,55.820834]",1 пасс.,"ВДНХ,","14,5 м2",,,–,3 м2,,косметический,,,1,,,"вторичка, 
            кирпичный",альтернатива,2 790 000 руб.,2 / 8
96,1 балк.,двор,,1966,"35
                мин.
                
                    на машине",19 м2,"[37.798376,56.005848]",–,"Медведково,",34 м2,,,19 м2,7 м2,,косметический,,,1,,да,вторичка,свободная,2 800 000 руб.,2 / 3
97,1 балк.,улица,,,"37
                мин.
                
                    на машине","31,4 м2","[36.917628,55.497660]",1 пасс. + 1 груз.,"Саларьево,","51,7 м2",,,13.3-18.1 м2,"10,2 м2",1,,,4 кв. 2016 года,,,,"новостройка, 
            монолитный",свободная,2 800 000 руб.,3 / 3
98,1 балк.,улица,,,"37
                мин.
                
                    на машине","28,4 м2","[36.917628,55.497660]",1 пасс. + 1 груз.,"Саларьево,","51,2 м2",,,13-15.4 м2,"10,2 м2",1,,,4 кв. 2016 года,,,,"новостройка, 
            монолитный",свободная,2 800 000 руб.,3 / 3
99,1 балк.,двор,,,"1
                мин.
                
                    пешком","7,3 м2","[37.414769,55.618842]",1 пасс. + 2 груз.,"Саларьево,","20,1 м2",,,7.3 м2,"5,5 м2",,,,2 кв. 2019 года,1,,,"новостройка, 
            монолитный",свободная,2 803 950 руб.,11 / 25
100,нет,двор,,,"15
                мин.
                
                    на машине","10,7 м2","[37.481457,55.576680]",2 пасс. + 1 груз.,"Теплый Стан,","22,1 м2",,,10.7 м2,"3,4 м2",,,,1 кв. 2018 года,1,,,"новостройка, 
            кирпично-монолитный",свободная,2 804 490 руб.,8 / 21
101,1 балк.,двор,,,"30
                мин.
                
                    на машине","13,6 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","29,3 м2",,,13.64 м2,"9,1 м2",,,,3 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,2 821 590 руб.,7 / 18
102,1 балк.,двор,,,"30
                мин.
                
                    на машине","15,0 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","30,5 м2",,,15.01 м2,"8,8 м2",,,,3 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,2 828 544 руб.,15 / 18
103,нет,двор,,,"15
                мин.
                
                    на машине",10 м2,"[37.481457,55.576680]",2 пасс. + 1 груз.,"Теплый Стан,","24,3 м2",,,10 м2,"7,3 м2",,,,1 кв. 2018 года,1,,,"новостройка, 
            кирпично-монолитный",свободная,2 835 810 руб.,5 / 21
104,нет,двор,,,"5
                мин.
                
                    на машине",10 м2,"[37.484935,55.541158]",1 пасс. + 1 груз.,"Бунинская аллея,","23,1 м2",,,10 м2,"6,4 м2",,,,4 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,2 845 920 руб.,1 / 18
105,–,двор,,,"60
                мин.
                
                    на машине","24,7 м2","[37.075601,55.214275]",–,"Теплый Стан,","39,3 м2",,наземная,"11,3-13,4 м2","5,1 м2",1,косметический,,,,,,вторичка,свободная,2 850 000 руб.,2 / 2
106,–,двор,"2,70 м",,"25
                мин.
                
                    на машине",27 м2,"[37.116880,55.277880]",–,"Теплый Стан,",45 м2,,наземная,16+11 м2,8 м2,1,косметический,,,,,нет,"вторичка, 
            кирпичный",свободная,2 850 000 руб.,2 / 2
107,–,двор,"2,64 м",2002,NA,16 м2,"[37.646265,55.588272]",1 пасс. + 1 груз.,NA,20 м2,,,–,4 м2,,отсутствует,,,1,,нет,вторичка,свободная,2 860 000 руб.,1 / 14
108,–,–,"2,80 м",2002,"9
                мин.
                
                    на машине",15 м2,"[37.646265,55.588272]",1 пасс. + 1 груз.,"Пражская,",20 м2,,наземная,–,5 м2,,косметический,,,1,,,"вторичка, 
            кирпичный",свободная,2 860 000 руб.,1 / 14
