,Балкон:,Вид из окна:,Высота потолков:,Год постройки:,До метро,Жилая площадь:,Координаты,Лифт:,Метро,Общая площадь:,Отделка:,Парковка:,Площадь комнат:,Площадь кухни:,Раздельных санузлов:,Ремонт:,Санузел:,Сдача ГК:,Совмещенных санузлов:,Статус помещения:,Телефон:,Тип дома:,Тип продажи:,Цена,Этаж:
197,1 балк. + 1 лодж.,двор,"2,64 м",1985,"10
                мин.
                
                    пешком",50 м2,"[37.413556,55.849939]",1 пасс. + 1 груз.,"Сходненская,",75 м2,,наземная,20-16-14 м2,10 м2,1,евроремонт,,,,,да,вторичка,свободная,12 700 000 руб.,2 / 17
198,1 балк.,двор,,,"5
                мин.
                
                    пешком",32 м2,"[37.590973,55.861135]",1 пасс.,"Отрадное,",51 м2,,,12+20 м2,9 м2,1,косметический,,,,,да,вторичка,альтернатива,8 600 000 руб.,16 / 17
199,нет,двор,,,"3
                мин.
                
                    пешком",240 м2,"[37.607933,55.754481]",1 пасс.,"Арбатская,",304 м2,,,21-20-11-64-50 м2,22 м2,3,,,,,,да,вторичка,свободная,193 000 000 руб.,2 / 5
200,1 лодж.,двор,,1984,"40
                мин.
                
                    пешком",17 м2,"[37.168109,55.601477]",–,"Юго-Западная,",33 м2,,,17 м2,6 м2,,косметический,,,1,,,вторичка,свободная,3 300 000 руб.,5 / 5
201,1 балк.,двор,"2,55 м",1977,"20
                мин.
                
                    на машине",33 м2,"[37.109638,55.595231]",–,"Румянцево,","47,7 м2",,,15.6-17.4 м2,"5,3 м2",1,отсутствует,,,,,нет,вторичка,свободная,3 300 000 руб.,4 / 5
202,1 лодж.,двор,,,NA,17 м2,"[37.562398,55.503823]",1 пасс. + 1 груз.,"Бунинская аллея,",39 м2,,,17 м2,9 м2,,отсутствует,нет,,,,,вторичка,свободная,3 300 000 руб.,8 / 16
203,–,улица,,,"30
                мин.
                
                    на машине",13 м2,"[37.150537,55.967823]",2 пасс. + 2 груз.,"Пятницкое шоссе,",32 м2,,наземная,13 м2,10 м2,,,,4 кв. 2017 года,1,,,"новостройка, 
            монолитный",переуступка,3 300 000 руб.,9 / 16
204,нет,двор,45 м,,"10
                мин.
                
                    пешком",–,"[37.639779,55.888952]",1 пасс. + 1 груз.,"Медведково,",27 м2,,наземная,–,–,,отсутствует,,,1,,нет,"вторичка, 
            кирпичный",свободная,3 300 000 руб.,5 / 6
205,–,двор,,1965,"15
                мин.
                
                    на машине",19 м2,"[37.160105,55.599626]",–,"Саларьево,","30,3 м2",,наземная,19 м2,7 м2,1,косметический,,,,,,вторичка,свободная,3 300 000 руб.,1 / 5
206,–,двор,,1962,"20
                мин.
                
                    пешком",9 м2,"[37.726754,55.766344]",–,"Семеновская,","13,1 м2",,наземная,9 м2,3 м2,,косметический,,,1,,,"вторичка, 
            кирпичный",свободная,3 300 000 руб.,5 / 5
