,Total_floor,Curent_floor,Price,TotalSq,pass_elevator,gruz_elevator,balkon,lodgya,sovmest_sanuz,razdeln_sanuz,Is_second,CentrDist,sell_type_214-FZ,sell_type_GSK_dogovor,sell_type_alternativa,sell_type_free,sell_type_pereustupka,sell_type_predvarit_dogovor,phone_no,phone_yes,parking_mnogour,parking_na_krishe,parking_nazemn,parking_otkritaya,parking_podzemn,age
1231,2,3,2090000.0,26.0,0,0,0,0,0.0,0.0,1,29.025480426975143,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
1232,17,28,76000000.0,190.0,1,0,1,0,3.0,0.0,1,11.704832201803681,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0
1233,8,9,9050000.0,59.0,1,1,0,2,0.0,1.0,1,14.710490530460993,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0
1234,6,11,14900000.0,41.1,1,1,0,0,1.0,0.0,1,5.789153577837281,0,0,0,1,0,0,1,0,0,0,0,0,1,18.0
1235,3,3,1440000.0,29.0,0,0,0,0,1.0,0.0,1,22.441691424672953,0,0,0,1,0,0,0,0,0,0,1,0,0,5.0
1236,1,9,1540000.0,12.0,0,0,0,0,1.0,0.0,1,16.349802361359455,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
1237,2,21,1590000.0,13.0,1,1,0,0,1.0,0.0,1,29.095391946912354,0,0,0,1,0,0,0,0,0,0,1,0,0,45.0
1238,1,3,1730000.0,34.0,0,0,0,0,0.0,0.0,0,53.25995082158847,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0
1239,1,9,1790000.0,12.0,1,0,0,0,1.0,0.0,1,16.349802361359455,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
1240,1,9,1790000.0,11.4,0,0,0,0,1.0,0.0,1,21.307843822400677,0,0,0,1,0,0,0,0,0,0,1,0,0,45.0
1241,1,3,1800001.0,34.2,1,1,1,0,0.0,1.0,0,53.25995082158847,0,0,0,1,0,0,0,0,0,0,0,0,0,35.0
1242,1,3,1800000.0,34.8,0,0,0,0,0.0,0.0,0,53.25995082158847,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
1243,1,3,1800000.0,34.0,0,0,0,0,1.0,0.0,0,53.25995082158847,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
1244,2,3,1850000.0,34.2,0,0,0,0,1.0,0.0,0,53.25995082158847,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
1245,1,2,1880000.0,27.0,0,0,0,0,0.0,1.0,1,24.819691720504583,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
1246,1,3,1890000.0,20.0,0,0,0,0,1.0,0.0,1,21.175445134449745,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
1247,1,14,1895000.0,15.0,1,1,0,0,1.0,0.0,1,18.46016345014414,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0
1248,1,14,1895000.0,15.0,1,1,0,0,1.0,0.0,1,18.46016345014414,0,0,0,1,0,0,0,0,0,0,1,0,0,15.0
1249,1,3,1900000.0,34.8,1,1,1,0,0.0,1.0,0,53.25995082158847,0,0,0,1,0,0,0,0,0,0,0,0,0,15.0
1250,1,3,1950000.0,34.0,1,1,1,0,0.0,1.0,0,53.25995082158847,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
1251,2,4,1990000.0,38.0,0,0,0,1,1.0,0.0,1,18.449493672691766,0,0,0,1,0,0,1,0,0,0,0,0,1,0.0
1252,3,3,1990000.0,32.0,0,0,0,0,1.0,0.0,1,27.035442951034074,0,0,0,1,0,0,0,1,0,0,1,0,0,7.0
1253,2,3,1990000.0,27.0,0,0,0,0,1.0,0.0,1,22.441691424672953,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
1254,1,3,1990000.0,19.3,0,0,0,0,1.0,0.0,1,22.480575987389614,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
1255,2,3,1990000.0,26.0,0,0,0,0,1.0,0.0,1,22.337932701237037,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
1256,3,3,1990000.0,32.0,0,0,0,0,1.0,0.0,1,27.035442951034074,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
1257,3,4,1990000.0,24.6,0,0,0,1,1.0,0.0,1,29.476103829370633,0,0,0,1,0,0,1,0,0,0,1,0,0,0.0
1258,2,22,2090000.0,21.0,2,2,0,0,1.0,0.0,1,28.39791709946304,0,0,0,1,0,0,0,0,0,0,1,0,0,3.0
1259,2,3,2090000.0,26.0,0,0,0,0,0.0,0.0,1,29.025480426975143,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
1260,9,19,8090000.0,34.0,2,1,1,1,1.0,0.0,1,10.197756741830473,0,0,0,1,0,0,0,1,0,0,1,0,0,3.0
1261,13,17,4644900.0,39.7,1,1,0,1,0.0,0.0,1,20.957354862842724,0,0,0,1,0,0,0,0,0,0,0,0,0,47.0
1262,2,2,13512500.0,57.5,0,0,0,0,0.0,0.0,0,7.235066928784948,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
1263,3,3,1440000.0,29.0,0,0,0,0,1.0,0.0,1,22.441691424672953,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
1264,1,9,1540000.0,12.0,0,0,0,0,1.0,0.0,1,16.349802361359455,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
1265,2,21,1590000.0,13.0,1,1,0,0,1.0,0.0,1,29.095391946912354,0,0,0,1,0,0,0,0,0,0,1,0,0,45.0
1266,1,3,1730000.0,34.0,0,0,0,0,0.0,0.0,0,53.25995082158847,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0
1267,1,9,1790000.0,12.0,1,0,0,0,1.0,0.0,1,16.349802361359455,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
1268,1,9,1790000.0,11.4,0,0,0,0,1.0,0.0,1,21.307843822400677,0,0,0,1,0,0,0,0,0,0,1,0,0,45.0
1269,1,3,1800001.0,34.2,1,1,1,0,0.0,1.0,0,53.25995082158847,0,0,0,1,0,0,0,0,0,0,0,0,0,35.0
1270,1,3,1800000.0,34.8,0,0,0,0,0.0,0.0,0,53.25995082158847,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
1271,1,3,1800000.0,34.0,0,0,0,0,1.0,0.0,0,53.25995082158847,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
1272,2,3,1850000.0,34.2,0,0,0,0,1.0,0.0,0,53.25995082158847,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
1273,1,2,1880000.0,27.0,0,0,0,0,0.0,1.0,1,24.819691720504583,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
1274,1,3,1890000.0,20.0,0,0,0,0,1.0,0.0,1,21.175445134449745,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
1275,1,14,1895000.0,15.0,1,1,0,0,1.0,0.0,1,18.46016345014414,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0
1276,1,14,1895000.0,15.0,1,1,0,0,1.0,0.0,1,18.46016345014414,0,0,0,1,0,0,0,0,0,0,1,0,0,15.0
1277,1,3,1900000.0,34.8,1,1,1,0,0.0,1.0,0,53.25995082158847,0,0,0,1,0,0,0,0,0,0,0,0,0,15.0
1278,1,3,1950000.0,34.0,1,1,1,0,0.0,1.0,0,53.25995082158847,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
